"id","geom","shape_leng","shape_area","adm3_es","adm3_pcode","adm3_ref","adm3alt1es","adm3alt2es","adm2_es","adm2_pcode","adm1_es","adm1_pcode","adm0_es","adm0_pcode","date","validon","validto","point_x","point_y"
19,"0101000020E610000040CDFFC7C3A354C0207D669889AD2040","0.675823062128","0.0063260813748","Guarumal","PA020104",NULL,NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.55882453899994","8.338940393935047"
20,"0101000020E6100000D0FDCE69B3A654C020610FDE80B12040","0.241916750988","0.00278721910868","Palo Grande","PA020105","Palo Grande",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.60470051969537","8.346686305405967"
21,"0101000020E610000054487BEB72A054C02024D23862B02040","0.347943910071","0.00293693182064","Querévalo","PA020106","Querevalo",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5070141509944","8.344499374057762"
22,"0101000020E610000024A7FF77F7A854C0A01864D563C32040","0.336795783518","0.00328008126978","Santo Tomás","PA020107","Santo Tomas",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.64010429349997","8.381621044605993"
23,"0101000020E6100000FC23B3049DB154C080FCD0D5E5B92040","0.40732649271","0.00573156660085","Baco","PA020201",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.77520864004322","8.363081628571535"
24,"0101000020E6100000DC1300F053B854C0E0C9EFB4DB382040","0.488563850737","0.0046282597442","Limones","PA020202",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.88012313849998","8.111051229735438"
25,"0101000020E610000030D7FFBFD5B554C080D4805959DE2040","0.516847271109","0.00406602750244","Progreso","PA020203",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.84117126449996","8.434275433517769"
26,"0101000020E6100000D4560FC6B7BA54C0A0A232709E942040","0.799542455219","0.0170202023857","Puerto Armuelles","PA020204","Puerto Armuelles",NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.91746665475813","8.290271288090764"
27,"0101000020E6100000A85200E036BA54C0E000443D5ECA2040","0.783979922977","0.014920050755","Rodolfo Aguilar Delgado","PA020205","Rodolfo Aguilar Delgado",NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.90959930449992","8.395250238944243"
28,"0101000020E610000098B7ED13F3A254C0C0CE55C77F062140","0.303284921355","0.00357269855282","Bágala","PA020301","Bagala",NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.54608629431311","8.512693623756945"
29,"0101000020E610000058372A0464A554C040CCBED596152140","0.364295970894","0.00329500245441","Boquerón","PA020302","Boqueron",NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5842295086162","8.54216640428615"
30,"0101000020E610000054EFFF2F3BA754C060A0778A26752140","0.410211807187","0.00388869709672","Cordillera","PA020303",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6129875182499","8.72880966863903"
